[Run] outdir = outputs/alt_cpu_v1
[Run] Data Version = 1
--- Using device: cpu ---
Lambda values (len=60): [0.00000000e+00 1.00000000e-04 1.26408831e-04 1.59791924e-04
 2.01991103e-04 2.55334591e-04 3.22765471e-04 4.08004057e-04
 5.15753157e-04 6.51957534e-04 8.24131895e-04 1.04177549e-03
 1.31689621e-03 1.66467310e-03 2.10429380e-03 2.66001319e-03
 3.36249156e-03 4.25048626e-03 5.37298998e-03 6.79193380e-03
 8.58560409e-03 1.08529617e-02 1.37191020e-02 1.73421564e-02
 2.19220171e-02 2.77113654e-02 3.50296130e-02 4.42805241e-02
 5.59744927e-02 7.07567017e-02 8.94427191e-02 1.13063495e-01
 1.42922242e-01 1.80666335e-01 2.28378201e-01 2.88690213e-01
 3.64929923e-01 4.61303647e-01 5.83128546e-01 7.37125976e-01
 9.31792326e-01 1.17786778e+00 1.48892889e+00 1.88213760e+00
 2.37918812e+00 3.00750389e+00 3.80175049e+00 4.80574834e+00
 6.07489027e+00 7.67919775e+00 9.70718407e+00 1.22707379e+01
 1.55112962e+01 1.96076482e+01 2.47857988e+01 3.13314383e+01
 3.96057048e+01 5.00651083e+01 6.32867179e+01 8.00000000e+01]
--- [Stage 1] Pretrain NN (regression) ---
[Train] it=  100 | val_mse=0.624861
[Train] it=  200 | val_mse=0.307498

=== [Alt Cycle 1/4] ADMM ===
[ADMM]   1/60 λ= 0.0000 | C2=10 C3=10 | minLinf=2.80e-01 | T=  0.29s | ARI=0.0000
[ADMM]  18/60 λ= 0.0043 | C2=10 C3=10 | minLinf=3.38e-02 | T=  0.51s | ARI=0.0000
[ADMM]  19/60 λ= 0.0054 | C2=10 C3=10 | minLinf=3.50e-02 | T=  0.51s | ARI=0.0000
[ADMM]  20/60 λ= 0.0068 | C2=10 C3=10 | minLinf=3.42e-02 | T=  0.51s | ARI=0.0000
[ADMM]  21/60 λ= 0.0086 | C2=10 C3=10 | minLinf=3.87e-02 | T=  0.51s | ARI=0.0000
[ADMM]  22/60 λ= 0.0109 | C2=10 C3=10 | minLinf=3.96e-02 | T=  0.50s | ARI=0.0000
[ADMM]  23/60 λ= 0.0137 | C2=10 C3=10 | minLinf=4.24e-02 | T=  0.51s | ARI=0.0000
[ADMM]  24/60 λ= 0.0173 | C2=10 C3=10 | minLinf=4.39e-02 | T=  0.51s | ARI=0.0000
[ADMM]  25/60 λ= 0.0219 | C2=10 C3=10 | minLinf=4.11e-02 | T=  0.51s | ARI=0.0000
[ADMM]  26/60 λ= 0.0277 | C2=10 C3=10 | minLinf=7.82e-03 | T=  0.50s | ARI=0.0000
[ADMM]  27/60 λ= 0.0350 | C2= 9 C3=10 | minLinf=3.62e-03 | T=  0.51s | ARI=0.0000
[ADMM]  28/60 λ= 0.0443 | C2=10 C3=10 | minLinf=3.12e-03 | T=  0.51s | ARI=0.0000
[ADMM]  29/60 λ= 0.0560 | C2=10 C3=10 | minLinf=3.62e-03 | T=  0.51s | ARI=0.0000
[ADMM]  30/60 λ= 0.0708 | C2=10 C3=10 | minLinf=3.36e-03 | T=  0.51s | ARI=0.0000
[ADMM]  31/60 λ= 0.0894 | C2=10 C3=10 | minLinf=5.28e-03 | T=  0.51s | ARI=0.0000
[ADMM]  32/60 λ= 0.1131 | C2=10 C3=10 | minLinf=7.46e-03 | T=  0.50s | ARI=0.0000
[ADMM]  33/60 λ= 0.1429 | C2=10 C3=10 | minLinf=6.96e-03 | T=  0.50s | ARI=0.0000
[ADMM]  34/60 λ= 0.1807 | C2=10 C3=10 | minLinf=8.30e-03 | T=  0.50s | ARI=0.0000
[ADMM]  35/60 λ= 0.2284 | C2=10 C3=10 | minLinf=2.68e-02 | T=  0.51s | ARI=0.0000
[ADMM]  36/60 λ= 0.2887 | C2=10 C3=10 | minLinf=1.44e-02 | T=  0.51s | ARI=0.0000
[ADMM]  37/60 λ= 0.3649 | C2=10 C3=10 | minLinf=2.15e-02 | T=  0.51s | ARI=0.0000
[ADMM]  38/60 λ= 0.4613 | C2=10 C3=10 | minLinf=2.20e-02 | T=  0.50s | ARI=0.0000
[ADMM]  39/60 λ= 0.5831 | C2=10 C3=10 | minLinf=1.77e-02 | T=  0.50s | ARI=0.0000
[ADMM]  40/60 λ= 0.7371 | C2=10 C3=10 | minLinf=2.48e-02 | T=  0.51s | ARI=0.0000
[ADMM]  41/60 λ= 0.9318 | C2=10 C3=10 | minLinf=1.64e-02 | T=  0.51s | ARI=0.0000
[ADMM]  42/60 λ= 1.1779 | C2=10 C3=10 | minLinf=2.72e-02 | T=  0.51s | ARI=0.0000
[ADMM]  43/60 λ= 1.4889 | C2=10 C3=10 | minLinf=1.38e-02 | T=  0.50s | ARI=0.0000
[ADMM]  44/60 λ= 1.8821 | C2=10 C3=10 | minLinf=1.64e-02 | T=  0.50s | ARI=0.0000
[ADMM]  45/60 λ= 2.3792 | C2=10 C3=10 | minLinf=1.53e-02 | T=  0.50s | ARI=0.0000
[ADMM]  46/60 λ= 3.0075 | C2=10 C3=10 | minLinf=1.83e-02 | T=  0.51s | ARI=0.0000
[ADMM]  47/60 λ= 3.8018 | C2=10 C3=10 | minLinf=1.76e-02 | T=  0.51s | ARI=0.0000
[ADMM]  48/60 λ= 4.8057 | C2=10 C3=10 | minLinf=2.00e-02 | T=  0.51s | ARI=0.0000
[ADMM]  49/60 λ= 6.0749 | C2=10 C3=10 | minLinf=1.63e-02 | T=  0.50s | ARI=0.0000
[ADMM]  50/60 λ= 7.6792 | C2=10 C3=10 | minLinf=2.11e-02 | T=  0.51s | ARI=0.0000
[ADMM]  51/60 λ= 9.7072 | C2=10 C3=10 | minLinf=1.37e-02 | T=  0.50s | ARI=0.0000
[ADMM]  52/60 λ=12.2707 | C2=10 C3=10 | minLinf=2.14e-02 | T=  0.50s | ARI=0.0000
[ADMM]  53/60 λ=15.5113 | C2=10 C3=10 | minLinf=2.16e-02 | T=  0.51s | ARI=0.0000
[ADMM]  54/60 λ=19.6076 | C2=10 C3=10 | minLinf=2.17e-02 | T=  0.51s | ARI=0.0000
[ADMM]  55/60 λ=24.7858 | C2=10 C3=10 | minLinf=2.27e-02 | T=  0.51s | ARI=0.0000
[ADMM]  56/60 λ=31.3314 | C2=10 C3=10 | minLinf=1.74e-02 | T=  0.51s | ARI=0.0000
[ADMM]  57/60 λ=39.6057 | C2=10 C3=10 | minLinf=1.65e-02 | T=  0.50s | ARI=0.0000
[ADMM]  58/60 λ=50.0651 | C2=10 C3=10 | minLinf=1.98e-02 | T=  0.51s | ARI=0.0000
[ADMM]  59/60 λ=63.2867 | C2=10 C3=10 | minLinf=1.71e-02 | T=  0.51s | ARI=0.0000
[ADMM]  60/60 λ=80.0000 | C2=10 C3=10 | minLinf=2.04e-02 | T=  0.51s | ARI=0.0000
[Alt] pick Z* from lambda idx=0 (ARI=0.0000)
=== [Alt Cycle 4] Finetune NN with tether mu=1.0 ===
[Train] it=  100 | val_mse=0.326636
[Save] Z path -> outputs/alt_cpu_v1/Z_path_cycle1.npy | shape=(60, 10, 16)
[Save] metrics -> outputs/alt_cpu_v1/path_metrics_cycle1.csv
[Save] dendrogram -> None
[Save] Z path -> outputs/alt_cpu_v1/Z_path_cycle2.npy | shape=(60, 10, 16)
[Save] metrics -> outputs/alt_cpu_v1/path_metrics_cycle2.csv
[Save] dendrogram -> None
[Save] Z path -> outputs/alt_cpu_v1/Z_path_cycle3.npy | shape=(60, 10, 16)
[Save] metrics -> outputs/alt_cpu_v1/path_metrics_cycle3.csv
[Save] dendrogram -> None
[Save] Z path -> outputs/alt_cpu_v1/Z_path_cycle4.npy | shape=(60, 10, 16)
[Save] metrics -> outputs/alt_cpu_v1/path_metrics_cycle4.csv
[Save] dendrogram -> None
